São Luís Gonzaga do Maranhão (MA);22427;22264;22028;21533;21259;20987;20163;19877;19952;19758;19510;18807;18607;18421;18247;18988;18856
São Mateus do Maranhão (MA);35361;35820;36266;37203;37721;38235;39210;39622;39418;39733;40095;40341;40574;40791;40992;41350;41529
São Pedro da Água Branca (MA);10940;11004;11040;11115;11157;11198;11439;11481;12113;12195;12287;12349;12407;12461;12511;12645;12690
São Pedro dos Crentes (MA);4079;4112;4153;4239;4287;4334;4136;4144;4456;4486;4520;4542;4563;4583;4601;4651;4668
São Raimundo das Mangabeiras (MA);14776;15022;15093;15241;15323;15404;16447;16594;17674;17868;18093;18255;18406;18548;18680;18755;18868
São Raimundo do Doca Bezerra (MA);6641;6626;6604;6560;6536;6511;4590;4372;5921;5757;5554;5387;5230;5082;4946;5345;5237
São Roberto (MA);4409;4446;4468;4513;4538;4563;5145;5217;6077;6193;6329;6432;6529;6620;6704;6649;6719
São Vicente Ferrer (MA);18664;18833;19032;19448;19678;19907;20288;20463;21052;21235;21445;21591;20678;20800;20913;22142;22247
Satubinha (MA);8323;8610;8916;9559;9915;10268;8651;8715;12301;12600;12959;13231;13487;13727;13949;13730;13914
Senador Alexandre Costa (MA);7835;8315;8196;7946;7808;7671;9343;9414;10386;10511;10657;10763;10862;10955;11042;11067;11141
Senador La Rocque (MA);15968;15783;19068;18654;18424;18196;19349;19359;14550;14447;14315;14195;14081;13975;13877;14367;14293
Serrano do Maranhão (MA);8203;7655;6974;5547;4756;3972;10911;11085;11080;10545;10693;10758;10859;10953;11040;10206;10253
Sítio Novo (MA);15305;15424;15568;15871;16038;16204;16009;16086;17147;17288;17449;17559;17663;17760;17851;18001;18081
Sucupira do Norte (MA);10394;10405;10417;10443;10458;10472;10529;10535;10450;10454;10454;10444;10434;10425;10416;10639;10636
Sucupira do Riachão (MA);4367;4439;4510;4658;4741;4822;4818;4869;5437;5466;5498;5519;5537;5556;5571;5645;5660
Tasso Fragoso (MA);6388;6434;6453;6494;6516;6538;6850;6890;7904;8008;8130;8219;8303;8382;8455;8459;8521
Timbiras (MA);26786;27125;27461;28166;28557;28944;26884;26909;28120;28238;28368;28442;28511;28575;28635;29064;29124
Timon (MA);131821;134374;136547;141109;143634;146139;148804;150635;157438;159471;161721;163342;164869;166295;167619;167973;169107
Trizidela do Vale (MA);16477;16535;16597;16727;16799;16870;18867;19104;19149;19339;19559;20747;20891;21028;21749;21885;21998
Tufilândia (MA);5520;5519;5515;5506;5502;5497;5677;5687;5624;5651;5681;5699;5716;5731;5746;5826;5840
Tuntum (MA);35789;35992;36261;36827;37140;37451;39041;39380;39560;39924;40273;40566;40844;41102;41342;41621;41832
Turiaçu (MA);31996;32515;33084;34279;34940;35597;33456;33649;34136;34333;34554;34694;34826;34949;35063;35497;35604
Turilândia (MA);17303;17378;17446;17589;17668;17747;20758;21102;23277;23694;24190;24559;24907;25232;25533;25365;25619
Tutóia (MA);38338;38770;42630;43983;44732;45474;47733;48424;53724;54629;55705;56501;57253;57955;58605;58311;58860
Urbano Santos (MA);17470;17447;17374;17222;17138;17054;22459;22938;25108;25356;31335;31840;32316;32629;33038;32775;33122
Vargem Grande (MA);34876;35088;35265;35636;35841;36045;44648;45630;50541;51633;52937;53918;54845;55710;56511;55841;56510
Viana (MA);44241;44684;44913;45395;45661;45925;48907;49348;49883;50257;50687;50976;51249;51503;51738;52229;52441
Vila Nova dos Martírios (MA);6824;6915;7013;7218;7331;7443;8961;9185;11608;11946;12352;12661;12954;13227;13480;13183;13392
Vitória do Mearim (MA);30718;31319;31952;33283;34019;34750;31851;32018;31406;31588;31793;31923;32046;32161;32267;32664;32764
Vitorino Freire (MA);32173;29831;29531;28900;28551;28205;31107;31144;31684;31709;30959;30937;30917;30897;30879;31525;31523
Zé Doca (MA);47088;47794;48565;50183;51078;51966;46290;46265;51615;49355;49848;50190;50507;50806;51084;51471;51714
